slide.type.id,slide.type.name,slide.data.level,slide.loop.var,slide.graph.type
1,district cover,district,,
2,district section title,district,,
3,school section title,school,school,
4,district dashboard,district,,"a,c"
5,school dashboard,school,school,"b,d"
6,district participation overall,district,,e
7,district participation by school,district,,f
8,district performance by school,district,,g
9,district performance by school by module,district,"school,module",h
10,school performance by ans.opt by module,school,"school,module",i
